Case Number,LADBS Inspection District,Address House Number,Address House Fraction Number,Address Street Direction,Address Street Name,Address Street Suffix,Address Street Suffix Direction,Address Zip,Date Case Generated,Date Case Closed,Parcel Identification Number (PIN),Case Type,Area Planning Commission (APC),Status of Case,Latitude/Longitude
780426,3303,13864,,W,FOOTHILL,BLVD,,91342,08/04/0017,,225B153   386,VEIP,North Valley,O,"(34.31117, -118.43555)"
859300,2100,3275,,W,WILSHIRE,BLVD,,90010,05/08/0019,,135B197  1219,NAR,Central,O,"(34.06196, -118.29357)"
893102,1113,8931,,S,BARING CROSS,ST,,90044,02/08/0020,,096A199   309,GENERAL,South Los Angeles,O,"(33.95561, -118.28946)"
757523,4600,2231,,W,FAIR PARK,AVE,,90041,03/12/0017,,162A221   285,LEA,East Los Angeles,O,"(34.13647, -118.21608)"
889305,3131,15849,,W,RAYEN,ST,,91343,12/15/0019,,195B141   327,GENERAL,North Valley,O,"(34.23208, -118.47816)"
869947,2103,5657,,N,SALOMA,AVE,,91411,07/12/0019,,174B149   615,GENERAL,South Valley,O,"(34.17379, -118.45873)"
876076,2100,1061,,S,BROXTON,AVE,,90024,08/18/0019,,132B149    64,NAR,West Los Angeles,O,"(34.06138, -118.44636)"
841270,1142,592,,W,2ND,ST,,90731,01/12/0019,,018B197  1300,GENERAL,Harbor,O,"(33.7425, -118.28974)"
890678,3122,13073,,W,BEAVER,ST,,91342,01/12/0020,,228B161   318,GENERAL,North Valley,O,"(34.32223, -118.41785)"
836311,3103,13018,,W,VENTURA,BLVD,,91604,11/23/0018,,165B161  1022,GENERAL,South Valley,O,"(34.14519, -118.41629)"
542492,2303,1825,,E,SLAUSON,AVE,,90058,02/10/0014,,108B213   708,VEIP,South Los Angeles,O,"(33.98965, -118.23994)"
826663,2103,14613,,W,LA MAIDA,ST,,91403,08/30/0018,,169-5A151 118,GENERAL,South Valley,O,"(34.1588, -118.45144)"
479237,2301,940,,N,PENNINGTON,AVE,,90744,09/21/0012,,033B213   758,VEIP,Harbor,O,"(33.78327, -118.23535)"
658015,1141,11603,,S,MAIN,ST,,90061,09/07/0014,,084B201    77,GENERAL,South Los Angeles,O,"(33.92983, -118.27407)"
892611,2100,3815,,W,6TH,ST,,90020,02/05/0020,,135B193   856,NAR,Central,O,"(34.06367, -118.30584)"
900594,2122,2803,,W,BROADWAY,,,90041,07/31/0020,,163-5A219  16,GENERAL,East Los Angeles,O,"(34.144, -118.22577)"
828753,3132,19710,,W,SEPTO,ST,,91324,09/19/0018,,201B117    48,GENERAL,North Valley,O,"(34.25083, -118.5627)"
870715,2122,6209,,E,HAYES,AVE,,90042,07/18/0019,,153A231   317,GENERAL,East Los Angeles,O,"(34.1122, -118.18593)"
889107,1131,3811,,W,3RD,ST,,90004,12/13/0019,,135B197   160,GENERAL,Central,O,"(34.06917, -118.29842)"
875655,2100,15300,,W,SUNSET,BLVD,,90272,08/17/0019,,129B125   555,NAR,West Los Angeles,O,"(34.04733, -118.52598)"
682141,8201,981,,S,WESTERN,AVE,,90019,05/21/0015,,129B193   157,SIGNS,Central,O,"(34.05315, -118.30927)"
834085,2100,8349,,W,FOOTHILL,BLVD,,91040,10/31/0018,,207B189  1080,NAR,North Valley,O,"(34.25986, -118.31517)"
833807,3102,10520,,W,CROCKETT,ST,,91352,10/27/0018,,192B177   810,GENERAL,North Valley,O,"(34.22002, -118.36029)"
898681,3143,15343,,W,VOSE,ST,,91406,05/03/0020,,183B145   228,GENERAL,South Valley,O,"(34.19856, -118.46789)"
812948,1112,1501,,W,MARTIN LUTHER KING,BLVD,,90062,04/20/0018,,114B193   316,GENERAL,South Los Angeles,O,"(34.011, -118.30368)"
859494,2122,4833,,N,COLLEGE VIEW,AVE,,90041,05/09/0019,,160-5A221  70,GENERAL,East Los Angeles,O,"(34.13538, -118.22058)"
856598,8133,10617,,S,COMPTON,AVE,,90002,04/20/0019,,090A213   225,PACE,South Los Angeles,O,"(33.9391, -118.24638)"
743893,3301,7905,,N,VAN NUYS,BLVD,,91402,11/10/0016,,189B149   451,VEIP,North Valley,O,"(34.21446, -118.44897)"
877409,1111,4426,,S,3RD,AVE,,90043,08/28/0019,,111B189   367,GENERAL,South Los Angeles,O,"(34.00291, -118.32016)"
427881,3306,6734,,N,RESEDA,BLVD,,91335,09/09/0011,,180B125   104,VEIP,South Valley,O,"(34.19296, -118.53584)"
791424,2111,243,,S,FORMOSA,AVE,,90036,11/03/0017,,135B181   106,GENERAL,Central,O,"(34.06982, -118.34632)"
421666,4105,10555,,N,HILLHAVEN,AVE,,91042,06/23/0011,,207B197  1201,CNAP,North Valley,O,"(34.26102, -118.29028)"
869261,3122,13544,,W,BEAVER,ST,,91342,07/10/0019,,225B157   615,GENERAL,North Valley,O,"(34.3123, -118.42785)"
804211,3121,10399,,N,ONEIDA,AVE,,91331,02/05/0018,,204B157    69,GENERAL,North Valley,O,"(34.25956, -118.42592)"
860823,2143,1478,,N,ANGELUS,AVE,,90026,05/16/0019,,142-5A205 197,GENERAL,East Los Angeles,O,"(34.0854, -118.26833)"
873929,1124,470,,E,42ND,PL,,90011,08/05/0019,,114A207   241,GENERAL,South Los Angeles,O,"(34.00648, -118.26612)"
587544,1142,424,,W,SANTA CRUZ,ST,,90731,05/10/0014,,018B201   551,GENERAL,Harbor,O,"(33.74431, -118.28629)"
899008,1133,2423,,S,VICTORIA,AVE,,90016,05/17/0020,,123B185   515,GENERAL,South Los Angeles,O,"(34.03363, -118.3361)"
843537,1133,2810,,S,CIMARRON,ST,,90018,01/25/0019,,123B189  1098,GENERAL,South Los Angeles,O,"(34.02953, -118.31501)"
888213,2121,1071,,S,LOS PALOS,ST,,90023,11/29/0019,,120A229   171,GENERAL,East Los Angeles,O,"(34.02103, -118.19428)"
808887,3306,6653,,N,RESEDA,BLVD,,91335,03/21/0018,,180B125   265,VEIP,South Valley,O,"(34.19182, -118.53623)"
825697,1112,2648,,S,RAYMOND,AVE,,90007,08/19/0018,,123B197  1176,GENERAL,South Los Angeles,O,"(34.03119, -118.29793)"
758681,3142,15308,,W,PARTHENIA,ST,,91343,03/22/0017,,195B145   528,GENERAL,North Valley,O,"(34.22812, -118.46586)"
880825,2130,3001,,N,ALTA,ST,,90031,09/21/0019,,141A225   208,GENERAL,East Los Angeles,O,"(34.08064, -118.2042)"
900725,3142,9817,,N,SHARP,AVE,,91331,08/19/0020,,201B157   318,GENERAL,North Valley,O,"(34.2485, -118.42724)"
844333,3131,8558,,N,GARDEN GROVE,AVE,,91325,01/31/0019,,192B125    86,GENERAL,North Valley,O,"(34.22621, -118.52942)"
807187,2301,801,,W,ROSECRANS,AVE,,90247,03/08/0018,,075B197   223,VEIP,Harbor,O,"(33.90206, -118.28966)"
741067,3301,10960,,W,TUXFORD,ST,,91352,10/17/0016,,198B173   146,VEIP,North Valley,O,"(34.23573, -118.36945)"
743401,1133,3715,,W,25TH,ST,,90018,11/05/0016,,123B189   445,GENERAL,South Los Angeles,O,"(34.03453, -118.3251)"
701397,3102,7728,,N,SHADYCOVE,AVE,,91504,11/04/0015,,189B181   568,GENERAL,North Valley,O,"(34.21153, -118.34455)"
815524,1141,1770,,E,104TH,ST,,90002,05/12/0018,,090A213    58,GENERAL,South Los Angeles,O,"(33.94143, -118.24111)"
884752,2112,1730,,S,SEPULVEDA,BLVD,,90025,10/30/0019,,129B153   931,GENERAL,West Los Angeles,O,"(34.04681, -118.44338)"
899853,2121,101,,W,3RD,ST,,90012,06/21/0020,,130-5A213 183,GENERAL,Central,O,"(34.04973, -118.24591)"
864213,2111,140,,N,VISTA,ST,,90036,06/02/0019,,138B181   646,GENERAL,Central,O,"(34.07485, -118.35208)"
847366,3131,15950,,W,CHASE,ST,,91343,02/21/0019,,192B141   237,GENERAL,North Valley,O,"(34.22464, -118.48015)"
896834,2203,1845,,N,EDGEMONT,ST,,90027,03/15/0020,,150B197   972,CITATIONS,Central,O,"(34.10477, -118.29629)"
681353,1131,1044,,S,TREMAINE,AVE,,90019,05/16/0015,,132B185   750,GENERAL,Central,O,"(34.05577, -118.33766)"
510978,8511,3223,,W,FLORENCE,AVE,,90043,08/30/0013,,102B185   765,BILLBOARDS,South Los Angeles,O,"(33.9747, -118.32887)"
884531,2304,2242,,W,SAN FERNANDO,ROAD,,90065,10/26/0019,,150B213   884,VEIP,East Los Angeles,O,"(34.10436, -118.23842)"
867910,1111,6216,,S,CRENSHAW,BLVD,,90043,06/29/0019,,105B185   766,GENERAL,South Los Angeles,O,"(33.98331, -118.33063)"
844531,2100,13625,,W,VENTURA,BLVD,,91423,02/01/0019,,165B157   627,NAR,South Valley,O,"(34.14804, -118.43036)"
834759,2304,10314,,S,WESTERN,AVE,,90047,11/07/0018,,091-5A193 281,VEIP,South Los Angeles,O,"(33.94267, -118.30882)"
696097,1101,658,,N,ELKINS,ROAD,,90049,09/23/0015,,138B137   589,GENERAL,West Los Angeles,O,"(34.0705, -118.49093)"
698672,3111,20465,,W,MIRANDA,ST,,91367,10/18/0015,,174B109   345,GENERAL,South Valley,O,"(34.17331, -118.57995)"
898109,1142,1350,,W,17TH,ST,,90732,03/29/0020,,012B193   559,GENERAL,Harbor,O,"(33.72896, -118.30705)"
727220,2130,3906,,N,GRIFFIN,AVE,,90031,07/15/0016,,144A225   256,GENERAL,East Los Angeles,O,"(34.08889, -118.20619)"
407245,1121,8426,,S,BROADWAY,,,90003,02/26/0011,,097-5A203 104,GENERAL,South Los Angeles,O,"(33.96254, -118.27808)"
858279,8201,11461,,W,SUNSET,BLVD,,90049,05/02/0019,,138B145   318,SIGNS,West Los Angeles,O,"(34.07213, -118.4684)"
483034,2302,5546,,N,SEPULVEDA,BLVD,,91411,11/03/0012,,174B145   495,VEIP,South Valley,O,"(34.17168, -118.46591)"
876983,3111,20315,,W,GILMORE,ST,,91306,08/23/0019,,180B113   536,GENERAL,South Valley,O,"(34.18929, -118.57597)"
848283,2304,5158,,S,CRENSHAW,BLVD,,90043,02/27/0019,,108B185   115,VEIP,South Los Angeles,O,"(33.99517, -118.33045)"
837711,1112,3737,,S,WESTERN,AVE,,90018,12/09/0018,,117B193   305,GENERAL,South Los Angeles,O,"(34.01976, -118.30905)"
900376,1112,1527,,W,55TH,ST,,90062,07/18/0020,,108B193   633,GENERAL,South Los Angeles,O,"(33.99245, -118.30325)"
785192,2103,9016,,W,CRESCENT,DR,,90046,09/09/0017,,150B169   667,GENERAL,Central,O,"(34.10849, -118.38721)"
503187,3204,11009,,N,HASKELL,AVE,,91344,06/28/0013,,210B141   768,CITATIONS,North Valley,O,"(34.27034, -118.47622)"
486940,2303,5266,,E,VALLEY,BLVD,,90032,12/14/0012,,138A235    61,VEIP,East Los Angeles,O,"(34.07373, -118.16925)"
894519,3111,18403,,W,SHERMAN,WAY,,91335,02/21/0020,,183B125   148,GENERAL,South Valley,O,"(34.20129, -118.53403)"
564847,3303,5302,,N,VINELAND,AVE,,91601,03/23/0014,,171B173   300,VEIP,South Valley,O,"(34.16715, -118.37016)"
800216,3141,11812,,W,RIALTO,ST,,91352,12/30/0017,,192B169    40,GENERAL,North Valley,O,"(34.22701, -118.39043)"
697681,1121,221,,W,71ST,ST,,90003,10/04/0015,,102B201   606,GENERAL,South Los Angeles,O,"(33.9757, -118.27683)"
784802,4103,6616,,S,WEST,BLVD,,90043,09/03/0017,,102B185   214,CNAP,South Los Angeles,O,"(33.97837, -118.33504)"
851579,2203,1638,,N,LAS PALMAS,AVE,,90028,03/24/0019,,148-5A185 182,CITATIONS,Central,O,"(34.10082, -118.33601)"
894386,1142,1341,,W,21ST,ST,,90732,02/16/0020,,012B193  1230,GENERAL,Harbor,O,"(33.7251, -118.30677)"
489777,3111,8103,,N,IRONDALE,AVE,,91306,01/27/0013,,189B109   185,GENERAL,South Valley,O,"(34.21708, -118.58477)"
889238,1113,717,,W,98TH,ST,,90044,12/14/0019,,093A199   215,GENERAL,South Los Angeles,O,"(33.94729, -118.2877)"
877669,3111,6115,,N,DILL,PL,,91367,08/30/0019,,177B089   441,GENERAL,South Valley,O,"(34.18122, -118.64717)"
895505,2121,341,,S,STATE,ST,,90033,03/01/0020,,127-5A221 113,GENERAL,East Los Angeles,O,"(34.04387, -118.21864)"
520493,1112,1127,,W,24TH,ST,,90007,11/01/0013,,124-5A201 263,GENERAL,South Los Angeles,O,"(34.03449, -118.2848)"
747582,1101,11954,,W,GOSHEN,AVE,,90049,12/24/0016,,129B145   952,GENERAL,West Los Angeles,O,"(34.04658, -118.46608)"
861694,1122,1021,,W,50TH,ST,,90037,05/18/0019,,111B197  1078,GENERAL,South Los Angeles,O,"(33.9979, -118.29241)"
795120,2131,1454,,N,KILLARNEY,AVE,,90065,11/23/0017,,148-5A219 171,GENERAL,East Los Angeles,O,"(34.09992, -118.22725)"
501265,3141,8820,,N,AMBOY,AVE,,91352,06/05/0013,,195B165   517,GENERAL,North Valley,O,"(34.22927, -118.39778)"
900943,3132,11510,,N,ZELZAH,AVE,,91344,09/04/0020,,213B129   252,GENERAL,North Valley,O,"(34.27989, -118.52408)"
679299,4106,922,,E,40TH,PL,,90011,05/01/0015,,115-5A209 305,CNAP,South Los Angeles,O,"(34.00997, -118.25949)"
409730,3301,7833,,N,SEPULVEDA,BLVD,,91406,03/17/0011,,189B145   506,VEIP,South Valley,O,"(34.21295, -118.4664)"
886037,1132,3529,,S,POTOMAC,AVE,,90016,11/08/0019,,120B181  1073,GENERAL,South Los Angeles,O,"(34.02286, -118.34433)"
883084,3142,8103,,N,LULLABY,LANE,,91402,10/11/0019,,189B153   111,GENERAL,North Valley,O,"(34.2182, -118.44459)"
879131,1121,406,,E,93RD,ST,,90003,09/09/0019,,094-5A207 388,GENERAL,South Los Angeles,O,"(33.95189, -118.26709)"
756259,3113,5849,,N,DONNA,AVE,,91356,03/05/0017,,174B121    24,GENERAL,South Valley,O,"(34.17705, -118.54765)"
895638,3111,8509,,N,LUBAO,AVE,,91306,03/05/0020,,192B113   193,GENERAL,North Valley,O,"(34.22485, -118.56788)"
781943,3306,21024,,W,SHERMAN,WAY,,91303,08/13/0017,,183B105   230,VEIP,South Valley,O,"(34.20085, -118.59167)"
687365,2133,1453,,W,ALLISON,AVE,,90026,07/02/0015,,139-5A209 364,GENERAL,East Los Angeles,O,"(34.07435, -118.25411)"
861480,2103,1775,,N,CRESCENT HEIGHTS,BLVD,,90069,05/18/0019,,150A175   433,GENERAL,Central,O,"(34.1031, -118.3696)"
900217,2123,3929,,N,RANDOLPH,AVE,,90032,07/11/0020,,145-5A233 150,GENERAL,East Los Angeles,O,"(34.09297, -118.17925)"
498370,2301,910,,E,G,ST,,90744,04/27/0013,,030B209   349,VEIP,Harbor,O,"(33.77898, -118.2515)"
709234,3111,20657,,W,CANTARA,ST,,91306,01/24/0016,,192B109   798,GENERAL,South Valley,O,"(34.21922, -118.58367)"
859325,2113,4930,,N,NOELINE,AVE,,91436,05/08/0019,,168B137   190,GENERAL,South Valley,O,"(34.15942, -118.48995)"
891092,3102,6119,,N,SATSUMA,AVE,,91606,01/18/0020,,177B173   675,GENERAL,South Valley,O,"(34.18186, -118.36714)"
808465,1132,5569,,W,ADAMS,BLVD,,90016,03/16/0018,,123B177   971,GENERAL,South Los Angeles,O,"(34.03262, -118.36433)"
870342,1111,1448,,W,56TH,ST,,90062,07/13/0019,,108B193   928,GENERAL,South Los Angeles,O,"(33.99135, -118.30193)"
865829,4105,1241,,N,BRONSON,AVE,,90038,06/15/0019,,144B189   182,CNAP,Central,O,"(34.0938, -118.3181)"
865687,3102,5239,,N,LANKERSHIM,BLVD,,91601,06/14/0019,,171B173   439,GENERAL,South Valley,O,"(34.16591, -118.37547)"
817772,8201,865,,N,VIA DE LA PAZ,,,90272,06/09/0018,,129B125   653,SIGNS,West Los Angeles,O,"(34.04663, -118.52741)"
734303,2103,3975,,N,WESLIN,AVE,,91423,08/28/0016,,162B157   423,GENERAL,South Valley,O,"(34.14156, -118.43095)"
838939,2100,770,,S,GRAND,AVE,,90014,12/22/0018,,129A209   223,NAR,Central,O,"(34.04603, -118.25748)"
898553,2121,1739,,S,TRINITY,ST,,90015,04/26/0020,,121-5A209  24,GENERAL,South Los Angeles,O,"(34.02888, -118.25905)"
900461,3132,9855,,N,SHOUP,AVE,,91311,07/24/0020,,201B101   151,GENERAL,North Valley,O,"(34.24948, -118.61499)"
900317,3101,11060,,W,FRUITLAND,DR,,91604,07/16/0020,,162B173   581,GENERAL,South Valley,O,"(34.13989, -118.3719)"
854135,3131,8344,,N,RESEDA,BLVD,,91324,04/11/0019,,192B125   557,GENERAL,North Valley,O,"(34.22204, -118.53583)"
846114,3201,11675,,W,ALLEGHENY,ST,,91352,02/09/0019,,198B169    56,CITATIONS,North Valley,O,"(34.24047, -118.38863)"
788669,3201,10431,,N,HAINES CANYON,AVE,,91042,10/15/0017,,204B201   171,CITATIONS,North Valley,O,"(34.25846, -118.27901)"
847684,2100,5629,1/2,N,FIGUEROA,ST,,90042,02/23/0019,,151-5A229 230,NAR,East Los Angeles,O,"(34.1095, -118.19335)"
877363,1201,2717,,W,VERNON,AVE,,90008,08/25/0019,,111B189   149,CITATIONS,South Los Angeles,O,"(34.0038, -118.32303)"
900569,3111,7427,,N,NESTLE,AVE,,91335,07/30/0020,,186B125   580,GENERAL,South Valley,O,"(34.20554, -118.53079)"
899784,1122,2931,,S,ALAMEDA,ST,,90058,06/20/0020,,117A215    60,GENERAL,South Los Angeles,O,"(34.01252, -118.24001)"
892065,2113,5142,,N,ZELZAH,AVE,,91316,01/30/0020,,171B129   193,GENERAL,South Valley,O,"(34.16477, -118.52188)"
862340,1112,4030,,S,DENKER,AVE,,90062,05/23/0019,,114B193   490,GENERAL,South Los Angeles,O,"(34.00977, -118.3044)"
805544,1124,5526,,S,AVALON,BLVD,,90011,02/17/0018,,108B205   772,GENERAL,South Los Angeles,O,"(33.99172, -118.26499)"
898786,3102,10828,,W,CROCKETT,ST,,91352,05/09/0020,,192B177   781,GENERAL,North Valley,O,"(34.22016, -118.36601)"
864809,4102,13906,,W,OXNARD,ST,,91401,06/08/0019,,177B153   898,CNAP,South Valley,O,"(34.17925, -118.436)"
887448,3103,6552,,N,BUFFALO,AVE,,91401,11/21/0019,,180B157   534,GENERAL,South Valley,O,"(34.18982, -118.43002)"
404465,2301,2101,,E,I,ST,,90744,01/22/0011,,033B213   800,VEIP,Harbor,O,"(33.7829, -118.23531)"
829766,2143,3903,,W,BOYCE,AVE,,90039,09/28/0018,,156A207    16,GENERAL,East Los Angeles,O,"(34.12374, -118.26308)"
603328,3303,12157,,W,BRANFORD,ST,,91331,06/06/0014,,204B165   399,VEIP,North Valley,O,"(34.25235, -118.39799)"
875155,1113,10045,,S,WESTERN,AVE,,90047,08/14/0019,,091-5A193 170,GENERAL,South Los Angeles,O,"(33.94405, -118.3093)"
838233,2100,319,,E,2ND,ST,,90012,12/14/0018,,129A213    10,NAR,Central,O,"(34.04929, -118.24098)"
804090,1111,5719,,S,3RD,AVE,,90043,02/03/0018,,108B189  1123,GENERAL,South Los Angeles,O,"(33.9904, -118.3205)"
820489,8511,1540,,N,VINE,ST,,90028,07/14/0018,,148-5A189 312,BILLBOARDS,Central,O,"(34.09918, -118.32644)"
772829,8201,3809,,W,3RD,ST,,90004,06/09/0017,,135B197   160,SIGNS,Central,O,"(34.06917, -118.29839)"
521754,3102,11323,,W,HAMLIN,ST,,91606,11/09/0013,,180B173   648,GENERAL,South Valley,O,"(34.18864, -118.37771)"
745253,8201,5372,,W,ADAMS,BLVD,,90016,12/01/0016,,123B177  1038,SIGNS,South Los Angeles,O,"(34.0323, -118.36031)"
836214,2203,6506,,W,HOLLYWOOD,BLVD,,90028,11/22/0018,,148-5A187 180,CITATIONS,Central,O,"(34.10143, -118.33142)"
879672,2100,1800,,S,MAIN,ST,,90015,09/13/0019,,123A207   102,NAR,South Los Angeles,O,"(34.03196, -118.26368)"
900788,2121,502,1/2,S,CONCORD,ST,,90063,08/23/0020,,124-5A227 469,GENERAL,East Los Angeles,O,"(34.03318, -118.19989)"
857747,1132,4109,,S,2ND,AVE,,90008,04/27/0019,,114B189   473,GENERAL,South Los Angeles,O,"(34.01017, -118.31941)"
875117,1121,234,,E,88TH,PL,,90003,08/12/0019,,096A205   265,GENERAL,South Los Angeles,O,"(33.95638, -118.27046)"
502457,3123,10533,,W,COLEBROOK,ST,,91040,06/20/0013,,204B177   165,GENERAL,North Valley,O,"(34.25313, -118.3587)"
439704,3301,8201,,N,WOODLEY,AVE,,91406,12/30/0011,,192B137   331,VEIP,South Valley,O,"(34.21893, -118.48388)"
761787,3303,12071,,W,BRANFORD,ST,,91331,04/05/0017,,204B165   243,VEIP,North Valley,O,"(34.25367, -118.3961)"
688003,3301,6710,,N,VAN NUYS,BLVD,,91405,07/10/0015,,180B149   181,VEIP,South Valley,O,"(34.1926, -118.44844)"
894033,3123,9734,,W,LA TUNA CANYON,ROAD,,91352,02/15/0020,,195B181    47,GENERAL,North Valley,O,"(34.23498, -118.34331)"
733185,8511,1600,,N,VINE,ST,,90028,08/20/0016,,148-5A189 346,BILLBOARDS,Central,O,"(34.1, -118.32647)"
835867,1121,828,,E,FLORENCE,AVE,,90001,11/18/0018,,102B209   113,GENERAL,South Los Angeles,O,"(33.97459, -118.25978)"
657254,3111,20616,,W,OXNARD,ST,,91367,08/21/0014,,177B109   163,GENERAL,South Valley,O,"(34.17779, -118.58243)"
852613,3111,7121,,N,CANBY,AVE,,91335,04/04/0019,,183B125   301,GENERAL,South Valley,O,"(34.19995, -118.53488)"
895337,2121,3110,,E,1ST,ST,,90063,02/29/0020,,126A227    22,GENERAL,East Los Angeles,O,"(34.0392, -118.19997)"
659955,2303,5150,,S,VERMONT,AVE,,90037,10/03/0014,,108B197    17,VEIP,South Los Angeles,O,"(33.99578, -118.29134)"
423396,3306,21250,,W,NORDHOFF,ST,,91311,07/09/0011,,195B105     1,VEIP,North Valley,O,"(34.23524, -118.59487)"
714329,2103,3875,,N,BEVERLY RIDGE,DR,,91423,03/16/0016,,162B149   280,GENERAL,South Valley,O,"(34.14161, -118.44594)"
815951,2123,5117,,E,BOHLIG,ROAD,,90032,05/18/0018,,138A235   404,GENERAL,East Los Angeles,O,"(34.07026, -118.17224)"
874224,2203,1135,,W,VENICE,BLVD,,90015,08/07/0019,,127-5A203 358,CITATIONS,Central,O,"(34.04209, -118.28)"
695976,1102,6155,,W,75TH,PL,,90045,09/20/0015,,102B165   796,GENERAL,West Los Angeles,O,"(33.97233, -118.39366)"
832286,2130,2422,,N,LINCOLN HIGH,DR,,90031,10/18/0018,,139-5A227 241,GENERAL,East Los Angeles,O,"(34.07463, -118.19955)"
845343,1131,625,,S,BERENDO,ST,,90005,02/06/0019,,135B197  1256,GENERAL,Central,O,"(34.06294, -118.29439)"
674728,2122,905,,N,PINE GROVE,AVE,,90042,02/26/0015,,159A231    84,GENERAL,East Los Angeles,O,"(34.13135, -118.18682)"
843256,1103,327,,S,5TH,AVE,,90291,01/19/0019,,111B141   526,GENERAL,West Los Angeles,O,"(33.9973, -118.47364)"
502596,8511,6151,,N,FIGUEROA,ST,,90042,06/21/0013,,153A231    91,BILLBOARDS,East Los Angeles,O,"(34.11451, -118.18557)"
817842,3141,12300,,W,SHELDON,ST,,91352,06/10/0018,,195B165    87,GENERAL,North Valley,O,"(34.23411, -118.40053)"
771099,2103,8508,,W,ALLENWOOD,ROAD,,90046,05/25/0017,,153B169    94,GENERAL,South Valley,O,"(34.11867, -118.38193)"
868373,1112,1753,,W,45TH,ST,,90062,07/04/0019,,111B193   257,GENERAL,South Los Angeles,O,"(34.0029, -118.31073)"
721448,2133,704,,N,MOON,AVE,,90065,05/23/0016,,150A223   614,GENERAL,East Los Angeles,O,"(34.10726, -118.21036)"
826003,2304,1717,,W,SAN FERNANDO,ROAD,,90065,08/23/0018,,147A217    39,VEIP,East Los Angeles,O,"(34.099, -118.23417)"
524291,3301,7905,,N,VAN NUYS,BLVD,,91402,11/28/0013,,189B149   451,VEIP,North Valley,O,"(34.21446, -118.44897)"
475697,3303,12113,,W,BURBANK,BLVD,,91607,08/03/0012,,174B165   705,VEIP,South Valley,O,"(34.17231, -118.39695)"
868034,1133,2225,,S,COCHRAN,AVE,,90016,06/30/0019,,126B177  1466,GENERAL,South Los Angeles,O,"(34.03803, -118.35638)"
543596,2103,8318,,W,GRAND VIEW,DR,,90046,02/13/0014,,150A175   436,GENERAL,Central,O,"(34.10369, -118.37172)"
413122,3301,7943,,N,HASKELL,AVE,,91406,04/15/0011,,189B141    92,VEIP,South Valley,O,"(34.215, -118.47511)"
896658,2102,7677,,W,SUNSET,BLVD,,90046,03/14/0020,,147B177   990,GENERAL,Central,O,"(34.09821, -118.35673)"
890840,3121,12543,,W,PIERCE,ST,,91331,01/15/0020,,210B161   810,GENERAL,North Valley,O,"(34.2724, -118.40652)"
685680,2122,1017,,N,AVENUE 63,,,90042,06/10/0015,,157-5A233 208,GENERAL,East Los Angeles,O,"(34.125, -118.17997)"
718083,2302,5824,,N,VAN NUYS,BLVD,,91401,04/29/0016,,174B149   177,VEIP,South Valley,O,"(34.1765, -118.44836)"
900681,3131,9743,,N,MONOGRAM,AVE,,91343,08/14/0020,,201B137   460,GENERAL,North Valley,O,"(34.24773, -118.49253)"
874437,3103,13032,,W,EBELL,ST,,91605,08/09/0019,,192B161   483,GENERAL,North Valley,O,"(34.2189, -118.41763)"
777146,2113,10755,,W,STRADELLA,CT,,90077,07/13/0017,,144B149    34,GENERAL,West Los Angeles,O,"(34.09378, -118.45487)"
711840,3103,14360,,W,KITTRIDGE,ST,,91401,02/19/0016,,180B149   449,GENERAL,South Valley,O,"(34.1905, -118.44634)"
805318,1141,10849,,S,GORMAN,AVE,,90059,02/16/0018,,088-5A217 445,GENERAL,South Los Angeles,O,"(33.93582, -118.23179)"
687623,2304,4711,,S,NORMANDIE,AVE,,90062,07/04/0015,,111B193   685,GENERAL,South Los Angeles,O,"(34.00059, -118.30033)"
780015,2304,10219,,W,VENICE,BLVD,,90034,08/02/0017,,120B165  1326,VEIP,West Los Angeles,O,"(34.02163, -118.40252)"
743899,3301,7905,,N,VAN NUYS,BLVD,,91402,11/10/0016,,189B149   451,VEIP,North Valley,O,"(34.21446, -118.44897)"
898263,4106,743,,S,KOHLER,ST,,90021,04/04/0020,,124-5A213 129,CNAP,Central,O,"(34.03651, -118.24361)"
455705,2133,1211,,N,NORTH MAIN,ST,,90012,03/18/0012,,135A217   120,GENERAL,Central,O,"(34.0644, -118.23238)"
845810,3143,14831,,W,ARCHWOOD,ST,,91405,02/08/0019,,180B149    74,GENERAL,South Valley,O,"(34.19308, -118.45631)"
879412,2100,425,,E,ROSE,AVE,,90291,09/12/0019,,111B141   387,NAR,West Los Angeles,O,"(33.99806, -118.47436)"
900049,2123,2540,,N,ONYX,DR,,90032,07/01/0020,,139-5A227 180,GENERAL,East Los Angeles,O,"(34.0761, -118.19679)"
800837,2303,1713,,E,VERNON,AVE,,90058,01/10/0018,,112-5A213  26,VEIP,South Los Angeles,O,"(34.00409, -118.24291)"
832610,3102,11221,,W,COHASSET,ST,,91352,10/20/0018,,186B173   482,GENERAL,North Valley,O,"(34.20674, -118.37546)"
831725,1133,3501,,W,MONT CLAIR,ST,,90018,10/12/0018,,123B189  1061,GENERAL,South Los Angeles,O,"(34.02976, -118.32253)"
864228,4103,843,,E,87TH,PL,,90002,06/05/0019,,096A209    32,CNAP,South Los Angeles,O,"(33.95845, -118.2593)"
850558,1121,714,,E,89TH,ST,,90002,03/16/0019,,096A207   208,GENERAL,South Los Angeles,O,"(33.95551, -118.26243)"
690565,2122,3058,,S,SHASTA,CIR,S,90065,07/31/0015,,159A217   263,GENERAL,East Los Angeles,O,"(34.12935, -118.23183)"
